pharmacy_number;filial_number;pharmacy_name;address;postcode;city;pharmacy_types;ibnr;search_string;lattitude;longitude;found_address
124;00;Nørre Nebel Apotek;Bredgade 45;6830;Nørre Nebel;Apotek-tillægsbevilling;12400;Bredgade 45, 6830;55.77913252;8.29066396;road
129;00;Galten Apotek;Torvet 3;8464;Galten;Apotek-tillægsbevilling;12900;Torvet 3, 8464;56.15513218;9.90417968;road
130;00;Skibby Apotek;Hovedgaden 40;4050;Skibby;Apotek;13000;Hovedgaden 40, 4050;55.75145499;11.95936247;road
130;02;Jægerspris Fasan Apotek;Møllehegnet 2A;3630;Jægerspris;Filial frivillig;13002;Møllehegnet 2A, 3630;55.85033155;11.98545273;road
131;00;Viborg Løve Apotek;Koldingvej 130;8800;Viborg;Apotek;13100;Koldingvej 130, 8800;56.43030027;9.38762633;road
131;01;Hammershøj Apotek;Randersvej 8;8830;Tjele;Filial;13101;Randersvej 8, 8830;56.49937784;9.75185749;road
131;02;Engelsborg Apotek;Fabrikvej 2;8800;Viborg;Filial frivillig;13102;Fabrikvej 2, 8800;56.46679864;9.40000489;road
131;03;Hjultorvets Apotek;Sct. Mathias Gade 66 st. 2;8800;Viborg;Filial frivillig;13103;Sct. Mathias Gade 66 st. 2, 8800;56.44956433;9.40849348;road
132;00;Århus Jernbane Apotek;Banegårdspladsen 8;8000;Århus C;Apotek;13200;Banegårdspladsen 8, 8000;56.15081172;10.20405399;road
132;01;Risskov Apotek;Nordre Strandvej 15D;8240;Risskov;Filial frivillig;13201;Nordre Strandvej 15D, 8240;56.19220417;10.24144303;road
134;00;Sct. Stefans Apotek;Nørrebrogade 140;2200;København N;Apotek-tillægsbevilling;13400;Nørrebrogade 140, 2200;55.69469475;12.54883604;road
136;00;Nykøbing F. Svane Apotek;Slotsbryggen 1-3;4800;Nykøbing Falster;Apotek;13600;Slotsbryggen 1-3, 4800;54.77254969;11.86457615;road
136;01;Guldborgsund Svane Apotek;Guldborgsundcentret 23;4800;Nykøbing Falster;Filial frivillig;13601;Guldborgsundcentret 23, 4800;54.75886547;11.85463199;road
137;00;Glumsø Apotek;Østergade 8;4171;Glumsø;Apotek-tillægsbevilling;13700;Østergade 8, 4171;55.35293085;11.69225226;road
137;01;Fuglebjerg Apotek;Byagervej 6 A;4250;Fuglebjerg;Filial;13701;Byagervej 6 A, 4250;55.30282927;11.54403408;first postcode address
138;00;Nærum Apotek;Nærum Vænge Torv 35;2850;Nærum;Apotek;13800;Nærum Vænge Torv 35, 2850;55.81521727;12.53934754;first postcode address
143;00;Roslev Apotek;Jernbanegade 17;7870;Roslev;Apotek;14300;Jernbanegade 17, 7870;56.70029027;8.99034839;first postcode address
144;00;Dronninglund Apotek;Slotsgade 64;9330;Dronninglund;Apotek;14400;Slotsgade 64, 9330;57.15926856;10.28956521;road
144;01;Hals Apotek;Havnegade 7A;9370;Hals;Filial;14401;Havnegade 7A, 9370;56.99330344;10.30727178;road
144;02;Hjallerup Apotek;Søndergade 6;9320;Hjallerup;Filial frivillig;14402;Søndergade 6, 9320;57.16861467;10.14537492;road
145;00;Bjerringbro Apotek;Nørregade 4;8850;Bjerringbro;Apotek;14500;Nørregade 4, 8850;56.37525896;9.65846556;road
145;01;Langå Apotek;Bredgade 18;8870;Langå;Filial frivillig;14501;Bredgade 18, 8870;56.39042735;9.89512474;road
150;00;Struer Apotek;Østergade 11;7600;Struer;Apotek;15000;Østergade 11, 7600;56.49214444;8.59338792;road
151;00;Odense Sct. Knuds Apotek;Torvegade 8;5000;Odense C;Apotek;15100;Torvegade 8, 5000;55.39668322;10.39016984;road
151;01;Odense Apoteket Rosengården;Ørbækvej 75;5220;Odense SØ;Filial frivillig;15101;Ørbækvej 75, 5220;55.38248793;10.42808455;road
152;00;Langeskov Apotek;Langeskov Centret 27;5550;Langeskov;Apotek;15200;Langeskov Centret 27, 5550;55.36055862;10.58760567;road
152;01;Ørbæk Apotek;Nyborgvej 2;5853;Ørbæk;Filial;15201;Nyborgvej 2, 5853;55.25858353;10.67328786;road
152;02;Niels Bohrs Allé's Apotek;Niels Bohrs Allé 150;5230;Odense M;Filial frivillig;15202;Niels Bohrs Allé 150, 5230;55.37704772;10.43201273;road
152;03;Apoteket Odense Banegård;Østre Stationsvej 27;5000;Odense C;Filial frivillig;15203;Østre Stationsvej 27, 5000;55.40116414;10.38783423;road
152;04;Vestergade Apotek;Vestergade 28;5800;Nyborg;Filial frivillig;15204;Vestergade 28, 5800;55.31677722;10.79024822;road
154;00;Espergærde Apotek;Nørremarken 3;3060;Espergærde;Apotek;15400;Nørremarken 3, 3060;55.98495492;12.54024304;first postcode address
154;01;Humlebæk Apotek;Humlebæk Center 23;3050;Humlebæk;Filial frivillig;15401;Humlebæk Center 23, 3050;55.9640055;12.52998151;road
154;02;Fredensborg Apotek;Jernbanegade 5;3480;Fredensborg;Filial;15402;Jernbanegade 5, 3480;55.97873966;12.39972947;road
156;00;Fønix Apoteket - Tørring;Bredgade 19;7160;Tørring;Apotek;15600;Bredgade 19, 7160;55.85039545;9.48081457;road
156;01;Fønix Apoteket - Nørre Snede;Bredgade 22;8766;Nørre Snede;Filial;15601;Bredgade 22, 8766;55.96743501;9.39155037;first postcode address
159;00;Charlottenlund Apotek;Lindegårdsvej 51;2920;Charlottenlund;Apotek-tillægsbevilling;15900;Lindegårdsvej 51, 2920;55.75463048;12.5697512;road
161;00;Svendborg Sct. Nicolai Apotek;Gerritsgade 7;5700;Svendborg;Apotek-tillægsbevilling;16100;Gerritsgade 7, 5700;55.05885426;10.60878161;road
161;01;Vester-Skerninge Apotek;Fåborgvej 40;5762;Vester Skerninge;Filial;16101;Fåborgvej 40, 5762;55.07420802;10.45432377;road
161;02;Sct. Nicolai Apotek Vest;c/o Kvickly Storcenter;5700;Svendborg;Filial frivillig;16102;c/o Kvickly Storcenter, 5700;55.07835242;10.58107726;first postcode address
164;00;Hadsten Apotek;Vesselbjergvej 8;8370;Hadsten;Apotek;16400;Vesselbjergvej 8, 8370;56.32823207;10.0478215;road
164;01;Hinnerup Apotek;Storegade 5;8382;Hinnerup;Filial;16401;Storegade 5, 8382;56.26403801;10.06206626;road
166;00;Horsens Løve Apotek;Nørretorv 2;8700;Horsens;Apotek-tillægsbevilling;16600;Nørretorv 2, 8700;55.86800575;9.84543178;road
166;01;Hovedgård Apotek;Ørridslevvej 1;8732;Hovedgård;Filial;16601;Ørridslevvej 1, 8732;55.93813771;9.9558584;road
169;00;Slagelse Rådhus Apotek;Smedegade 6;4200;Slagelse;Apotek-tillægsbevilling;16900;Smedegade 6, 4200;55.40457005;11.35703294;road
170;00;Roskilde Svane Apotek;Skomagergade 19;4000;Roskilde;Apotek;17000;Skomagergade 19, 4000;55.64077846;12.07780119;road
170;05;Køgevejens Apotek;Roskildevænget 2 B;4000;Roskilde;Filial frivillig;17005;Roskildevænget 2 B, 4000;55.64140256;12.08433541;first postcode address
170;06;Svogerslev Apotek;Svogerslev Hovedgade 78;4000;Roskilde;Filial frivillig;17006;Svogerslev Hovedgade 78, 4000;55.64140256;12.08433541;first postcode address
172;00;Brønderslev Apotek;P. Møllers Plads 10;9700;Brønderslev;Apotek;17200;P. Møllers Plads 10, 9700;57.27961852;9.95386207;first postcode address
172;01;Vrå Apotek;Jernbanegade 6;9760;Vrå;Filial;17201;Jernbanegade 6, 9760;57.3539698;9.94217025;road
172;02;Brønderslev Løve Apotek;Løvbjerg Arkaden 14;9700;Brønderslev;Filial frivillig;17202;Løvbjerg Arkaden 14, 9700;57.27961852;9.95386207;first postcode address
176;00;Sejlflod Apotek;Rødhøjvej 2;9280;Storvorde;Apotek;17600;Rødhøjvej 2, 9280;57.0001148;10.10104438;road
176;01;Skalborg Apotek;Otto Mønsteds Vej 1;9200;Aalborg SV;Filial frivillig;17601;Otto Mønsteds Vej 1, 9200;57.01499655;9.89404969;road
176;02;Universitets Apotek Aalborg;Niels Bohrs Vej 44;9220;Aalborg Øst;Filial frivillig;17602;Niels Bohrs Vej 44, 9220;57.01795137;9.99321485;road
177;00;Odense Albani Apotek;Albanigade 54 F;5000;Odense C;Apotek;17700;Albanigade 54 F, 5000;55.41249949;10.40244131;first postcode address
177;01;Næsby Apotek;Bogensevej 33A, st.;5270;Odense N;Filial frivillig;17701;Bogensevej 33A, st., 5270;55.41826502;10.36064507;road
177;02;Folkebo Apotek;Hjallesevej 201 tv.;5230;Odense M;Filial frivillig;17702;Hjallesevej 201 tv., 5230;55.37542859;10.39585496;road
178;00;Århus Vejlby Apotek;Vejlbygade 16 A;8240;Risskov;Apotek;17800;Vejlbygade 16 A, 8240;56.19840472;10.25451202;first postcode address
178;01;Lystrup Apotek;Lystrup Centervej 85;8520;Lystrup;Filial frivillig;17801;Lystrup Centervej 85, 8520;56.23768607;10.23426224;road
178;02;Veri Apotek;Frijsenborgvej 5;8240;Risskov;Filial frivillig;17802;Frijsenborgvej 5, 8240;56.18872702;10.21526525;road
178;03;Egå Apotek;Egå Havvej 2A;8250;Egå;Filial frivillig;17803;Egå Havvej 2A, 8250;56.23122171;10.29012881;first postcode address
180;00;Borup Apotek;Hovedgaden 15;4140;Borup;Apotek;18000;Hovedgaden 15, 4140;55.49464729;11.97248996;road
180;01;Bjæverskov Apotek;Ejbovej 33;4632;Bjæverskov;Filial frivillig;18001;Ejbovej 33, 4632;55.4612622;12.03593261;road
180;02;Strøby Egede Apotek;Kystvejen 3 B;4600;Køge;Filial frivillig;18002;Kystvejen 3 B, 4600;55.44015256;12.17903863;first postcode address
180;03;Viby Svane Apotek;Søndergade 8 A;4130;Viby Sjælland;Filial frivillig;18003;Søndergade 8 A, 4130;55.54497081;12.02575061;first postcode address
180;04;Køge Løve Apotek;Vestergade 23;4600;Køge;Filial frivillig;18004;Vestergade 23, 4600;55.45726411;12.1782267;road
181;00;Aalborg Budolfi Apotek;Algade 60;9000;Aalborg;Apotek;18100;Algade 60, 9000;57.04840736;9.91617933;road
181;01;Nibe Apotek;Mellemgade 9;9240;Nibe;Filial;18101;Mellemgade 9, 9240;56.98251479;9.63806409;road
181;02;Løgstør Apotek;Østerbrogade 1B;9670;Løgstør;Filial;18102;Østerbrogade 1B, 9670;56.96646765;9.25184374;road
182;00;Hellerup Apotek;Strandvejen 161, st.;2900;Hellerup;Apotek;18200;Strandvejen 161, st., 2900;55.73194966;12.57553948;road
182;01;Rotunden Apotek;Strandvejen 62E, St.;2900;Hellerup;Filial frivillig;18201;Strandvejen 62E, St., 2900;55.72748252;12.5768117;road
182;02;Apoteket City2;Cityringen 24;2630;Taastrup;Filial frivillig;18202;Cityringen 24, 2630;55.64388905;12.2745463;road
183;00;Steno Apotek;Vesterbrogade 6 C;1620;København V;Apotek;18300;Vesterbrogade 6 C, 1620;55.67578459;12.56710268;first postcode address
184;00;Apoteket Godthåb;Godthåbsvej 4;2000;Frederiksberg;Apotek;18400;Godthåbsvej 4, 2000;55.68553791;12.53816114;road
184;01;Apoteket Jernbane Allé;Jernbane Allé 40;2720;Vanløse;Filial frivillig;18401;Jernbane Allé 40, 2720;55.6866057;12.49122768;road
184;02;Apoteket Sundby;Englandsvej 28;2300;København S;Filial frivillig;18402;Englandsvej 28, 2300;55.65679611;12.60411706;road
184;03;Apoteket Frederikssundsvej;Frederikssundsvej 60A;2400;København NV;Filial frivillig;18403;Frederikssundsvej 60A, 2400;55.70356413;12.52938679;road
184;04;Hydehøj Apotek;Hyrdehøj Alle 5;4000;Roskilde;Filial frivillig;18404;Hyrdehøj Alle 5, 4000;55.63464291;12.0530273;road
185;00;Smallegades Apotek;Smallegade 46;2000;Frederiksberg;Apotek-tillægsbevilling;18500;Smallegade 46, 2000;55.67967901;12.52373851;road
188;00;Næstved Svane Apotek;Torvestræde 8;4700;Næstved;Apotek;18800;Torvestræde 8, 4700;55.23006417;11.76004513;road
188;01;Sct. Jørgens Apotek;Sct. Jørgens Park 34;4700;Næstved;Filial frivillig;18801;Sct. Jørgens Park 34, 4700;55.2157996;11.75724096;road
188;02;Kvægtorvets Apotek;Kvægtorvet 8;4700;Næstved;Filial frivillig;18802;Kvægtorvet 8, 4700;55.23292957;11.76121205;road
189;00;Ejby Apotek;Algade 4;5592;Ejby;Apotek;18900;Algade 4, 5592;55.42906738;9.92893695;road
189;01;Aarup Apotek;Bredgade 60;5560;Aarup;Påbudt filial under tilskudsnedtrapning;18901;Bredgade 60, 5560;55.3789224;10.04750076;road
189;02;Vissenbjerg Apotek;Østergade 11;5492;Vissenbjerg;Filial frivillig;18902;Østergade 11, 5492;55.38516055;10.13665964;road
189;03;Nr. Aaby Apotek;Grønnegade 12;5580;Nørre Aaby;Filial frivillig;18903;Grønnegade 12, 5580;55.4611145;9.87749113;road
189;04;Strib Apotek;Sofiendalvej 10;5500;Middelfart;Filial frivillig;18904;Sofiendalvej 10, 5500;55.53239283;9.77631485;road
191;00;Helsinge Apotek;Østergade 35;3200;Helsinge;Apotek;19100;Østergade 35, 3200;56.01976952;12.20368764;first postcode address
191;01;Rådhusapoteket Helsinge;Frederiksborgvej 20;3200;Helsinge;Filial frivillig;19101;Frederiksborgvej 20, 3200;56.01968713;12.20026698;road
195;00;Nørre Alslev Apotek;Apotekergade 1;4840;Nørre Alslev;Apotek;19500;Apotekergade 1, 4840;54.89867059;11.87917414;road
195;01;Stubbekøbing Apotek;Vestergade 24 B;4850;Stubbekøbing;Filial;19501;Vestergade 24 B, 4850;54.88681673;12.03719416;first postcode address
195;02;Valdemarsgade Apotek;Valdemarsgade 69;4760;Vordingborg;Filial frivillig;19502;Valdemarsgade 69, 4760;55.01083514;11.91267078;road
197;00;Valby Apotek;Valby Langgade 49;2500;Valby;Apotek;19700;Valby Langgade 49, 2500;55.66652628;12.51694526;road
197;01;Ryparken Apotek;Lyngbyvej 153;2100;København Ø;Filial frivillig;19701;Lyngbyvej 153, 2100;55.71798507;12.55650915;road
198;00;Odense Sct. Hans Apotek;Skibhusvej 66;5000;Odense C;Apotek-tillægsbevilling;19800;Skibhusvej 66, 5000;55.40630946;10.39282647;road
198;01;Vollsmose Apotek;Risingsvej 132;5240;Odense NØ;Filial frivillig;19801;Risingsvej 132, 5240;55.40640271;10.44019107;road
199;00;Sønderbro Apotek;Amagerbrogade 158;2300;København S;Apotek;19900;Amagerbrogade 158, 2300;55.65473126;12.6101987;road
200;00;Vejen Apotek;Mindevej 1;6600;Vejen;Apotek;20000;Mindevej 1, 6600;55.47488431;9.13800652;road
200;01;Vejen Trolde Apotek;Rådhuspassagen 1;6600;Vejen;Filial frivillig;20001;Rådhuspassagen 1, 6600;55.47688206;9.13708671;road
202;00;Øresunds Apotek;Østerbrogade 151;2100;København Ø;Apotek;20200;Østerbrogade 151, 2100;55.71409228;12.57728561;road
202;01;Waterfront Apotek Hellerup;Shoppingcentret Waterfront;2900;Hellerup;Filial frivillig;20201;Shoppingcentret Waterfront, 2900;55.74068715;12.57545488;first postcode address
204;00;Silkeborg Himmelbjerg Apotek;Borgergade 20;8600;Silkeborg;Apotek-tillægsbevilling;20400;Borgergade 20, 8600;56.17722952;9.5545496;road
206;00;Fakse Apotek;Rønnedevej 15;4640;Fakse;Apotek-tillægsbevilling;20600;Rønnedevej 15, 4640;55.25561594;12.11618096;road
206;01;Apotek Stationsvej;Stationsvej 1A;4681;Herfølge;Filial frivillig;20601;Stationsvej 1A, 4681;55.41712593;12.14094499;road
207;00;Stenlille Apotek;Hovedgaden 48;4295;Stenlille;Apotek;20700;Hovedgaden 48, 4295;55.54005461;11.59095228;road
207;01;Dianalund Apotek;Torvet  5;4293;Dianalund;Filial frivillig;20701;Torvet  5, 4293;55.52694302;11.49729001;road
215;00;Gentofte Apotek;Gentoftegade 35;2820;Gentofte;Apotek-tillægsbevilling;21500;Gentoftegade 35, 2820;55.74736872;12.54122763;road
216;00;Elefant Apoteket Asnæs;Asnæs Centret 7;4550;Asnæs;Apotek-tillægsbevilling;21600;Asnæs Centret 7, 4550;55.811989;11.50056138;road
218;00;Hadsund Apotek;Storegade 23;9560;Hadsund;Apotek;21800;Storegade 23, 9560;56.71628145;10.11403267;road
218;01;Mariager Apotek;Østergade 10;9550;Mariager;Filial;21801;Østergade 10, 9550;56.65150984;9.98361378;road
218;02;Terndrup Apotek;Hadsundvej 7;9575;Terndrup;Filial frivillig;21802;Hadsundvej 7, 9575;56.81347331;10.05821131;road
218;03;Apoteket Fyrkat;Thurøvej 9;9500;Hobro;Filial frivillig;21803;Thurøvej 9, 9500;56.62577498;9.8055888;road
220;00;Skørping Apotek;Sverriggårdsvej 10;9520;Skørping;Apotek;22000;Sverriggårdsvej 10, 9520;56.83619033;9.88945745;road
220;01;Støvring Apotek;Hobrovej 84;9530;Støvring;Filial;22001;Hobrovej 84, 9530;56.89005581;9.83693272;road
220;03;Arden Apotek ;Skovvej 4;9510;Arden;Filial frivillig;22003;Skovvej 4, 9510;56.76955555;9.85860679;road
223;00;Fredericia Krone Apotek;Prinsessegade 45-49;7000;Fredericia;Apotek-tillægsbevilling;22300;Prinsessegade 45-49, 7000;55.5701272;9.75038789;first postcode address
223;01;Fredericia Krone Apotek - Nymarksvej;Nymarksvej 39 A;7000;Fredericia;Filial frivillig;22301;Nymarksvej 39 A, 7000;55.5701272;9.75038789;first postcode address
223;02;Fredericia Krone Apotek - Fredericia Sundhedshus;Dronningensgade 97;7000;Fredericia;Filial frivillig;22302;Dronningensgade 97, 7000;55.5701272;9.75038789;first postcode address
225;00;Ballerup Apotek;Centrumgaden 24-26;2750;Ballerup;Apotek;22500;Centrumgaden 24-26, 2750;55.73128804;12.36059465;first postcode address
225;01;Måløv Apotek;Stationsvej 7;2760;Måløv;Filial frivillig;22501;Stationsvej 7, 2760;55.74855653;12.31869889;road
225;02;Apoteket i Ballerup Centret;Ballerup-Centret 2, 1.3;2750;Ballerup;Filial frivillig;22502;Ballerup-Centret 2, 1.3, 2750;55.72898292;12.35585447;road
225;03;Hedegårdens Apotek;Hedeparken 11K;2750;Ballerup;Filial frivillig;22503;Hedeparken 11K, 2750;55.71889834;12.35817927;road
225;04;Smørum Apotek;Flodvej 75M;2765;Smørum;Filial frivillig;22504;Flodvej 75M, 2765;55.73267728;12.30505714;road
232;00;Apoteket Trianglen;Nordre Frihavnsgade 3;2100;København Ø;Apotek-tillægsbevilling;23200;Nordre Frihavnsgade 3, 2100;55.70002402;12.57806852;road
233;00;Esbjerg Neptun Apotek;Stormgade 2;6700;Esbjerg;Apotek;23300;Stormgade 2, 6700;55.46678341;8.44299557;road
233;01;Sædding Apotek;Sædding Center;6710;Esbjerg V;Filial frivillig;23301;Sædding Center, 6710;55.53356684;8.35510803;first postcode address
234;00;Vejle Gorms Apotek;Vestergade 29;7100;Vejle;Apotek;23400;Vestergade 29, 7100;55.71450648;9.53186406;first postcode address
234;01;Vinddinggård Apotek;Vindinggård Center 7 B;7100;Vejle;Filial frivillig;23401;Vindinggård Center 7 B, 7100;55.71450648;9.53186406;first postcode address
234;02;Bredballe Apotek;Bredballecenteret 12;7120;Vejle Øst;Filial frivillig;23402;Bredballecenteret 12, 7120;55.73304136;9.60001947;first postcode address
238;00;Helsingør Stengades Apotek;Stengade 46;3000;Helsingør;Apotek;23800;Stengade 46, 3000;56.03792874;12.61477773;first postcode address
239;00;Holbæk Løve Apotek;Labæk 4;4300;Holbæk;Apotek;23900;Labæk 4, 4300;55.71665294;11.71647951;road
239;01;Slotscentret Apotek;Slotsvolden 7;4300;Holbæk;Filial frivillig;23901;Slotsvolden 7, 4300;55.71778893;11.7037582;road
241;00;Århus Marselisborg Apotek;Rundhøj Torv 3;8270;Højbjerg;Apotek;24100;Rundhøj Torv 3, 8270;56.1296632;10.18839799;first postcode address
241;01;Tranbjerg Apotek;Kirketorvet 6;8310;Tranbjerg Jylland;Filial frivillig;24101;Kirketorvet 6, 8310;56.09081527;10.13589077;road
241;02;Beder Apotek;Byvej 2;8330;Beder;Filial frivillig;24102;Byvej 2, 8330;56.05893284;10.20653202;road
241;03;Mega Syd Apotek;Ringvej Syd 100 E;8260;Viby Jylland;Filial frivillig;24103;Ringvej Syd 100 E, 8260;56.10956451;10.14782299;first postcode address
241;04;Ry Apotek;Siimtoften 2;8680;Ry;Filial frivillig;24104;Siimtoften 2, 8680;56.09354301;9.75565491;road
241;05;Hørning Apotek;Nørre Allé 38;8362;Hørning;Filial frivillig;24105;Nørre Allé 38, 8362;56.08680218;10.03810725;road
241;06;Kridthøj Apotek;Olaf Rudes Vej 22;8270;Højbjerg;Filial frivillig;24106;Olaf Rudes Vej 22, 8270;56.11795119;10.1948576;road
242;00;Apoteket Svalen;Nørrebrogade 224;2200;København N;Apotek-tillægsbevilling;24200;Nørrebrogade 224, 2200;55.70013916;12.54020343;road
243;00;Amagerbro Apotek;Reberbanegade 3;2300;København S;Apotek;24300;Reberbanegade 3, 2300;55.66282948;12.60378756;road
243;02;Kløvermarkens Apotek;Vermlandsgade 51;2300;København S;Filial frivillig;24302;Vermlandsgade 51, 2300;55.66828133;12.60688931;road
243;03;Bella Apotek;Michael Strunges Vej 15;2300;København S;Filial frivillig;24303;Michael Strunges Vej 15, 2300;55.63794624;12.58168475;road
246;00;Vildbjerg Apotek;Bredgade 33;7480;Vildbjerg;Apotek;24600;Bredgade 33, 7480;56.20080347;8.76759635;road
246;01;Karup Apotek;Herningvej 2;7470;Karup Jylland;Filial;24601;Herningvej 2, 7470;56.30904931;9.16557083;road
246;02;Aulum Apotek;Skolegade 2;7490;Aulum;Filial frivillig;24602;Skolegade 2, 7490;56.26567116;8.79711959;road
247;00;Thisted Løve Apotek;Sydhavnsvej 11;7700;Thisted;Apotek;24700;Sydhavnsvej 11, 7700;56.95152582;8.69320884;road
247;01;Hanstholm Apotek;Bytorvet 20;7730;Hanstholm;Filial frivillig;24701;Bytorvet 20, 7730;57.11295287;8.60676674;road
248;00;Hedensted Apotek;Bytorvet 21 B;8722;Hedensted;Apotek;24800;Bytorvet 21 B, 8722;55.77499262;9.72119637;first postcode address
248;01;Juelsminde Apotek;Søgade 3;7130;Juelsminde;Filial;24801;Søgade 3, 7130;55.7151505;10.01104858;road
248;02;Løsning Apotek;Nørregade 2;8723;Løsning;Filial frivillig;24802;Nørregade 2, 8723;55.80416112;9.7016878;road
249;00;Ikast Apotek;Østergade 15;7430;Ikast;Apotek-tillægsbevilling;24900;Østergade 15, 7430;56.13988048;9.15754188;road
249;01;Ikast Apotek Vest;Vestergade 63;7430;Ikast;Filial frivillig;24901;Vestergade 63, 7430;56.09967905;9.20221583;first postcode address
252;00;Tåstrup Apotek;Taastrup Hovedgade 60;2630;Taastrup;Apotek;25200;Taastrup Hovedgade 60, 2630;55.65025;12.30152477;road
252;01;Hedehusene Apotek;Hovedgaden 423;2640;Hedehusene;Filial frivillig;25201;Hovedgaden 423, 2640;55.64945516;12.19980274;road
252;03;Strandboulevarden Apotek Østerbro;Nordre Frihavnsgade 81 st. th.;2100;København Ø;Filial frivillig;25203;Nordre Frihavnsgade 81 st. th., 2100;55.70606286;12.55422353;first postcode address
252;05;Nytorv Apotek Strøget;Frederiksberggade 1A st.;1459;København K;Filial frivillig;25205;Frederiksberggade 1A st., 1459;55.67761594;12.57209708;road
252;06;Ishøj Lille Torv Apotek;Ishøj Lille Torv 1;2635;Ishøj;Filial frivillig;25206;Ishøj Lille Torv 1, 2635;55.6145818;12.3552043;road
252;07;Trianglen Central Apotek;Trianglen 2;2100;København Ø;Filial frivillig;25207;Trianglen 2, 2100;55.69966617;12.5770811;road
252;08;Lyngbyvej Apotek Østerbro;Lyngbyvej 38 st.;2100;København Ø;Filial frivillig;25208;Lyngbyvej 38 st., 2100;55.71015714;12.56118403;road
252;09;Cityapoteket;Tommerupgade 41 st.;2630;Taastrup;Filial frivillig;25209;Tommerupgade 41 st., 2630;55.64543623;12.27975917;road
253;00;Bramminge Apotek;Storegade 2;6740;Bramming;Apotek;25300;Storegade 2, 6740;55.46472835;8.70253762;road
253;01;Holsted Apotek;Søndergade 16;6670;Holsted;Filial;25301;Søndergade 16, 6670;55.50996559;8.9169985;road
253;02;Brørup Apotek;Søndergade 17;6650;Brørup;Filial;25302;Søndergade 17, 6650;55.48146676;9.018186;road
253;03;Krone Apoteket Broen;Exnersgade 18, st. 15;6700;Esbjerg;Filial frivillig;25303;Exnersgade 18, st. 15, 6700;55.4654559;8.45887798;road
254;00;Høng Apotek;Centervej 35;4270;Høng;Apotek;25400;Centervej 35, 4270;55.50430302;11.28894775;road
254;01;Gørlev Apotek;Algade 29;4281;Gørlev;Filial frivillig;25401;Algade 29, 4281;55.53944395;11.2264092;road
254;02;Kalundborg Krone Apotek;Bredgade 42;4400;Kalundborg;Filial frivillig;25402;Bredgade 42, 4400;55.6786471;11.09122975;road
254;03;Slagelse Krone Apotek;Skovvejen 48;4200;Slagelse;Filial frivillig;25403;Skovvejen 48, 4200;55.40159527;11.37479011;road
255;00;Aalborg Reberbane Apotek;Reberbanegade 25;9000;Aalborg;Apotek;25500;Reberbanegade 25, 9000;57.02930345;9.95249717;first postcode address
255;01;Hasseris Apotek;Hasseris Bymidte 9;9000;Aalborg;Filial frivillig;25501;Hasseris Bymidte 9, 9000;57.03629211;9.88359808;road
255;02;Skipperen Apotek;Vestre Alle 7;9000;Aalborg;Filial frivillig;25502;Vestre Alle 7, 9000;57.03338374;9.90747154;road
259;00;Aars Apotek;Søndergade 34;9600;Aars;Apotek;25900;Søndergade 34, 9600;56.80207203;9.51942872;road
259;01;Aalestrup Apotek;Jernbanegade 6;9620;Aalestrup;Filial;25901;Jernbanegade 6, 9620;56.69455274;9.49551912;road
259;02;Farsø Apotek;Torvet 8;9640;Farsø;Filial;25902;Torvet 8, 9640;56.77126808;9.34014451;road
271;00;Vejle Sct. Thomas Apotek;Nørretorv 1 B;7100;Vejle;Apotek;27100;Nørretorv 1 B, 7100;55.71450648;9.53186406;first postcode address
271;01;Bramdrupdam Apotek;Centervej 5;6000;Kolding;Filial frivillig;27101;Centervej 5, 6000;55.52192657;9.47882773;road
273;00;Skive Svane Apotek;Sdr. Boulevard 7;7800;Skive;Apotek;27300;Sdr. Boulevard 7, 7800;56.56374621;9.03014226;road
273;01;Egeris Apotek;Kirke Allé 94;7800;Skive;Filial frivillig;27301;Kirke Allé 94, 7800;56.55199507;9.02970869;road
273;02;Nørregades Apotek;Nørregade 32C;7800;Skive;Filial frivillig;27302;Nørregade 32C, 7800;56.56857879;9.02732523;road
273;03;Stoholm Apotek;Vestergade 10;7850;Stoholm Jylland;Filial;27303;Vestergade 10, 7850;56.48574401;9.14910394;road
274;00;Randers Jernbane Apotek;Vestertorv 2;8900;Randers;Apotek;27400;Vestertorv 2, 8900;56.46096479;10.0308794;road
274;01;Apoteket Thors Bakke;Biografgade 3;8900;Randers;Filial frivillig;27401;Biografgade 3, 8900;56.4632682;10.03799032;road
275;00;Holstebro Koala Apotek;Nørregade 58;7500;Holstebro;Apotek-tillægsbevilling;27500;Nørregade 58, 7500;56.36215255;8.61942532;road
275;01;Vinderup Apotek;Søndergade 7;7830;Vinderup;Filial;27501;Søndergade 7, 7830;56.4811011;8.77935509;road
276;00;Børkop Apotek;Ny Boder 16;7080;Børkop;Apotek-tillægsbevilling;27600;Ny Boder 16, 7080;55.64151083;9.65098577;road
277;00;Hurup Apotek;Østre Allé 1;7760;Hurup Thy;Apotek;27700;Østre Allé 1, 7760;56.7496886;8.4227395;road
278;00;Farum Apotek;Farum Bytorv 69;3520;Farum;Apotek;27800;Farum Bytorv 69, 3520;55.81465377;12.38168876;road
278;01;Lynge Apotek;Lynge Bytorv 16;3540;Lynge;Filial frivillig;27801;Lynge Bytorv 16, 3540;55.83757252;12.2768837;road
